"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"SPSMV-1" 65 0.722222222222222 1.09083422120566 0.00139744955701011 0.186046511627907 0.960749063670412 0.246664099431286 0.280898876404494 1 1 0.0156500454892096 0 0.0116137744767049 0.00748621337734322 23.9664060584505 3.38187023792301 29.4257528416841 0.673796539470676 0.59646765090742 0.0730648671923458
"SPV2" 67 0.744444444444444 1.14393617250717 0.00214830108219649 0.116279069767442 0.952996254681648 0.244426464150429 0.258426966292135 1 1 0.0156500454892096 0 0.0116137744767049 0.00690291466465516 26.2374585324832 3.36776923904976 29.0137321130322 0.592609703246507 0.588115883750727 0.11100495460081
"SPVC" 75 0.833333333333333 1.77324468281924 0.0103099291042566 0.0232558139534884 0.947565543071161 0.25303950641267 0.168539325842697 1 1 0.0156500454892096 0.0606418121755545 0.0116137744767049 0.00828645444697 23.9043903233179 3.32117210764013 27.692790474558 0.679086663710102 0.561340053737963 0.0872656402914501
"SPVCV" 63 0.7 1.11630543767257 0.00184611805829478 0.27906976744186 0.945448624002606 0.274779408749643 0.303370786516854 1 1 0.0156500454892096 0 0.0116137744767049 0.00767231424297976 20.9228261666273 3.13702787977327 23.0353013316833 0.651239415129252 0.466931539429981 0.0907265007047162
"SPVE" 67 0.744444444444444 1.0922243797019 0.0013764832791329 0.13953488372093 0.961476725521669 0.253895383468548 0.258426966292135 1 1 0.0156500454892096 0.0200566304860783 0.0116137744767049 0.00654472385516462 27.9663331525182 3.39065859673524 29.6854966048929 0.604881967618341 0.601732724433748 0.11625621112122
"SPVF" 40 0.444444444444444 1.03691132189816 0.000922783047454072 0.732558139534884 0.90529695024077 0.202286738256792 0.561797752808989 1 1.03488372093023 0.0080597618690107 0 0.0114112086428089 0.00599721630546554 15.1170562584927 3.25604916812502 25.9468228379277 0.385641859205078 0.525948836378659 0.252322330344375
"SPVG" 70 0.777777777777778 1.23015551939414 0.00328793599134492 0.0581395348837209 0.941133365901319 0.205738082350232 0.224719101123595 1 1 0.0156500454892096 0 0.0116137744767049 0.00672617072547887 29.498988214796 3.55652926572869 35.0413665747517 0.696221981924253 0.710297599449005 0.0672302345440089
"SPYMV" 66 0.733333333333333 1.13432948392176 0.00203529521093574 0.162790697674419 0.854681647940075 0.136739207229229 0.269662921348315 1 1 0.0156500454892096 0 0.0116137744767049 0.00597343962965883 33.2217753901132 3.82900336483668 46.0166535578374 0.652976834283549 0.93276951648225 0.088000628173753
"TaBV" 7 0.0777777777777778 0.208843177986251 -0.113022403144821 0.941860465116279 0.984269662921348 0.476999046002862 0.932584269662921 1 1.04651162790698 0.00114278409662788 0 0.0113436866981769 0.000757891533067129 7.02812557237099 1.6987829895138 5.46728959247806 0.0537249893571733 0.110823379697406 0.445575489296289
"ToBV-1" 69 0.766666666666667 1.04040227906509 0.000585540276305713 0.104651162790698 0.96396745447501 0.25513901660514 0.235955056179775 1 1 0.0156500454892096 0 0.0116137744767049 0.00633732670081737 32.0399628189491 3.43715683717317 31.0984144998424 0.592525246180795 0.630372937048181 0.0995212612662375
"ToLCPaV" 46 0.511111111111111 0.759640228530951 -0.00522521242324019 0.651162790697674 0.959871589085072 0.248520905457545 0.49438202247191 1 1 0.0156500454892096 0 0.0116137744767049 0.00528753787210781 21.6089641172675 3.24661829216748 25.7032718250917 0.525643891017454 0.52101199410706 0.18689515759543
"TuMV" 59 0.655555555555556 1.28850875960351 0.00488997897633066 0.36046511627907 0.92823486770569 0.191729493210227 0.348314606741573 1 1 0.0156500454892096 0 0.0116137744767049 0.00636155187788523 25.7391426064872 3.5094518755367 33.4299389938056 0.444754898953564 0.677633543953616 0.231408905265994
"UPotV1" 12 0.133333333333333 0.428198381121447 -0.0476501349065461 0.895348837209302 0.993757802746567 0.649095820419619 0.876404494382023 1 1.02325581395349 0.00516851061373471 0 0.0114787305874409 0.00329667943333459 4.1684037253577 1.46206286706541 4.31485131857865 0.0764154959557258 0.087463156638819 0.577465991349235
"WMV" 44 0.488888888888889 0.953497751946887 -0.00105686927393438 0.697674418604651 0.962633916906193 0.286573187501197 0.51685393258427 1 1 0.0156500454892096 0 0.0116137744767049 0.00591975904283479 18.1988417544983 3.02645182271875 20.6239252695234 0.395160603688598 0.418052320502628 0.294934367099673
"WTMV" 13 0.144444444444444 0.76116794224602 -0.0183716967503062 0.872093023255814 0.991158592742678 0.585740905138005 0.865168539325843 1 1 0.0156500454892096 0 0.0116137744767049 0.0042119177414769 3.84784899164857 1.54773513807592 4.7008114280277 0.0781609195402299 0.0952866682772683 0.64916069001113
"YMV" 65 0.722222222222222 1.31776510906576 0.00488869398562714 0.174418604651163 0.985037835358863 0.443935991931111 0.280898876404494 1 1.03488372093023 0.00233907470508527 0 0.0114112086428089 0.0080861602291249 20.7118402166929 2.66224517984082 14.3284228983417 0.489435701956138 0.290440852723917 0.202590154900002
"ZTMV" 27 0.3 0.36655529586018 -0.0234609149681415 0.813953488372093 0.943820224719101 0.238204897165671 0.707865168539326 1 1.03488372093023 0.00518661242302847 0 0.0114112086428089 0.00286974192420064 18.8873261912837 2.99999159470433 20.0853680990206 0.234589186888037 0.407135626812667 0.260953055017581
